#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	Most-prescribed medicare drugs
$50.89	<A HREF=https://projects.propublica.org/vital-signs/doctor/1801822499 >KATHERINE MATTHAY </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ALPHANATE
$49.68	<A HREF=https://projects.propublica.org/vital-signs/doctor/1396928040 >DAVID PARK </A>	Clinical Pathology/Laboratory Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER;OMNIPAQUE;VISIPAQUE;OPTISON;OMNISCAN
$48	<A HREF=https://projects.propublica.org/vital-signs/doctor/1306875778 >MARK RATCLIFFE </A>	Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	CLEVIPREX
$47.36	<A HREF=https://projects.propublica.org/vital-signs/doctor/1417134040 >VIKRAM WADHWA </A>	Neuroradiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$45.79	<A HREF=https://projects.propublica.org/vital-signs/doctor/1831153725 >SCOTT OAKES </A>	Anatomic Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ENBREL
$42.42	<A HREF=https://projects.propublica.org/vital-signs/doctor/1033434774 >PRAVEEN PANGULURI </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	LEXISCAN;ELIQUIS
$40.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1861567604 >ANNE THORSON </A>	Cardiovascular Disease	<span style=color:black>2022 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER
$40.4	<A HREF=https://projects.propublica.org/vital-signs/doctor/1063477750 >RONALD ARENSON </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$40.27	<A HREF=https://projects.propublica.org/vital-signs/doctor/1598721425 >SAKURA KINJO </A>	Pain Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$37.33	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962649814 >TERI REYNOLDS </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	AMBISOME;MYCAMINE;LEXISCAN;CRESEMBA
$36.39	<A HREF=https://projects.propublica.org/vital-signs/doctor/1720021116 >HONGTAI LI </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$36.06	<A HREF=https://projects.propublica.org/vital-signs/doctor/1447292404 >CYNTHIA CHIN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$33.25	<A HREF=https://projects.propublica.org/vital-signs/doctor/1427177328 >JOSHUA GALANTER </A>	Critical Care Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$32.53	<A HREF=https://projects.propublica.org/vital-signs/doctor/1255506788 >JAMES MAAS </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	DUOPA
$32.39	<A HREF=https://projects.propublica.org/vital-signs/doctor/1356379002 >DAVID TEITEL </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$31.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1780637652 >MATTHIAS BEHRENDS </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$28.55	<A HREF=https://projects.propublica.org/vital-signs/doctor/1447587928 >CARINA MARQUEZ </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$28.41	<A HREF=https://projects.propublica.org/vital-signs/doctor/1326172511 >HEATHER HINDS </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	FASLODEX
$26.25	<A HREF=https://projects.propublica.org/vital-signs/doctor/1841580685 >ELIZABETH KIM </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	FYCOMPA;GAMMAGRAD/KIOVIG
$25.74	<A HREF=https://projects.propublica.org/vital-signs/doctor/1588600290 >KIRK JONES </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BRILINTA
$23.76	<A HREF=https://projects.propublica.org/vital-signs/doctor/1265614838 >SHANNON FOGH </A>	Radiation Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$22.58	<A HREF=https://projects.propublica.org/vital-signs/doctor/1659539856 >DAMON FRANCIS </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$22.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1265476196 >KATHARINE BRADY </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$22.18	<A HREF=https://projects.propublica.org/vital-signs/doctor/1003047408 >DAVID GORDON </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$20.51	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639126964 >GREG STRATMANN </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OFIRMEV
$20.14	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992836027 >CHRISTINE FOX </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	PROMACTA;JADENU
$20	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972661387 >ELIZABETH ROGERS </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	HYLENEX
$20	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942225271 >JOHN PARTRIDGE </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$19.42	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932225257 >HENRY CHENG </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SEROQUEL XR
$19.28	<A HREF=https://projects.propublica.org/vital-signs/doctor/1073824892 >RYAN KOHLBRENNER </A>	Vascular & Interventional Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$18.79	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205169117 >GRACE SO </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	MENACTRA;PENTACEL;SKLICE
$18.75	<A HREF=https://projects.propublica.org/vital-signs/doctor/1265461529 >PETER CALLEN </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$18.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1457504417 >ROBERT WHITE </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$17.29	<A HREF=https://projects.propublica.org/vital-signs/doctor/1134155898 >EMILY VON SCHEVEN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SOLIRIS
$16.86	<A HREF=https://projects.propublica.org/vital-signs/doctor/1114075652 >ALINA UZELAC </A>	Neuroradiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	GADAVIST
$16.62	<A HREF=https://projects.propublica.org/vital-signs/doctor/1104801414 >JOHN LI </A>	Pediatric Critical Care Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	DAKLINZA
$16.46	<A HREF=https://projects.propublica.org/vital-signs/doctor/1881929347 >GABRIEL MANNIS </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ENBREL
$16	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942522800 >KAI LI </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$16	<A HREF=https://projects.propublica.org/vital-signs/doctor/1407182579 >SALLY GRAGLIA </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$15.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1760639983 >JONATHAN BIXBY </A>	Physical Medicine & Rehabilitation	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BOTOX
$15.76	<A HREF=https://projects.propublica.org/vital-signs/doctor/1609893437 >NOBL BARAZANGI </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	DYMISTA
$15.56	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972697324 >ERICA PAN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$15.52	<A HREF=https://projects.propublica.org/vital-signs/doctor/1740580927 >KRISTIN SWEENEY </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BRILINTA
$14.33	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992762207 >CHRISTOPHER FEE </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	HYLENEX
$14.29	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699985747 >JOSIAH AMBROSE </A>	Neurology	<span style=color:black>326 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$14.05	<A HREF=https://projects.propublica.org/vital-signs/doctor/1134186943 >JAMES CALDWELL </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	PRADAXA
$13.85	<A HREF=https://projects.propublica.org/vital-signs/doctor/1407097322 >GABRIEL SARAH </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ULTIVA
$13.01	<A HREF=https://projects.propublica.org/vital-signs/doctor/1386600799 >JOHN TAYLOR </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$12.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1063704963 >ALISON KUCHTA </A>	Hospitalist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	FETZIMA;VIIBRYD
$12.43	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235195173 >JOHN FEINER </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$12.32	<A HREF=https://projects.propublica.org/vital-signs/doctor/1275750341 >REBECCA SWAIN </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OMNIPAQUE;OMNISCAN;OPTISON;VISIPAQUE
$11.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1669424131 >WILLIAM WHETSTONE </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SYMBICORT
$11.47	<A HREF=https://projects.propublica.org/vital-signs/doctor/1457693921 >CHRISTOPHER CARLOS </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$11	<A HREF=https://projects.propublica.org/vital-signs/doctor/1134157563 >SCOTT JOSEPHSON </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$10.97	<A HREF=https://projects.propublica.org/vital-signs/doctor/1184959769 >MARC SOLOMON </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ZOHYDRO ER
$10.39	<A HREF=https://projects.propublica.org/vital-signs/doctor/1649236092 >HUGH WEST </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OSPHENA
$9.93	<A HREF=https://projects.propublica.org/vital-signs/doctor/1285699413 >MAURICE ZWASS </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992971378 >EMILY KAINNE DOKUBO </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992902514 >KEEGAN CHECKETT </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992754733 >JACK NORRIS </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992081087 >JEROME CROWLEY </A>	Critical Care Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992029870 >ELIZA BAKKEN </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992021596 >KRISTEN WENDORF </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982966305 >HARI TRIVEDI </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982960928 >JONATHAN BRESHEARS </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982946315 >BLAKE CHARLTON </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982920682 >LAWRENCE SHIOW </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982820676 >JESSE COURTIER </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982803573 >ANH INNES </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982711974 >CHARLES RUHLIN </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982643532 >LYNNE STEINBACH </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982091716 >SARAH COUGHLIN </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982067336 >ALBERT LIU </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972997104 >ALAYN GOVEA </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972846418 >JEANNIE CHAN </A>	Nurse Practitioner, Neonatal	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972752848 >JON ALDRICH </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972732139 >AMY BECK </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972700235 >NILIKA SINGHAL </A>	Neurology with Special Qualifications in Child Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1972549939 >CHARLES HIGGINS </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962890368 >JULIE MORISSET </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962820589 >ANDREW CHAN </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962791590 >CYNTHIA MALDONADO </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962768374 >ELENI GREENWOOD </A>	Obstetrics & Gynecology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962737031 >SARAH GOGLIN </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962701417 >MADISON PADDOCK </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962530303 >JAFI LIPSON </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962490847 >JANE KIM </A>	Pharmacist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952682890 >AHMED SHALABI </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952625402 >DANIEL SHEPHERD </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952573388 >YEN BUI </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952552804 >MERCEDES YOUNG </A>	Nurse Practitioner, Adult Health	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952535254 >JEFFREY EDWARDS </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952366163 >SUSAN RYAN </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952324485 >JOSEPH KITTERMAN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942576681 >VANJA VARENIKA </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942536123 >TARA SAUNDERS </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942520549 >ELIZABETH TRICHE </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942465620 >JEAN REIMER-BRADY </A>	Nurse Practitioner, Neonatal	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942250097 >JEAN OLSON </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932527306 >ARMEN MOUGHAMIAN </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932390325 >FRED CHEN </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932343159 >GABRIEL SNYDER </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932238607 >MITUL KAPADIA </A>	Pediatric Rehabilitation Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932141884 >SCOTT KOGAN </A>	Hematology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922462555 >SARA NUNNERY </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922397462 >KARINA VIVAR </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
